"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","Abilene Christian",70.9837,49,69.8949,44,101.622,184,102.931,182,95.5159,38,99.3553,108,3.57547,128
"2022","Air Force",63.428,347,63.1144,340,92.9406,334,95.8872,306,104.316,245,103.935,198,-8.04741,261
"2022","Akron",63.8375,344,62.0476,351,107.883,52,106.117,113,99.9619,130,102.632,166,3.48477,131
"2022","Alabama",73.3157,10,71.698,11,109.137,36,116.071,15,104.116,238,98.676,95,17.3952,25
"2022","Alabama A&M",68.3935,163,66.4464,209,88.6957,354,87.5674,355,96.2221,47,100.974,132,-13.4065,316
"2022","Alabama St.",71.1919,45,69.3145,61,96.2452,290,97.2419,283,105.454,265,110.39,308,-13.148,313
"2022","Albany",65.8294,292,65.0172,282,93.9074,325,92.2981,343,99.6633,126,102.927,173,-10.6291,290
"2022","Alcorn St.",68.9565,122,67.673,129,95.8669,298,97.4332,278,102.536,203,105.49,229,-8.05658,262
"2022","American",65.5956,303,64.7997,296,96.1552,292,94.5219,324,107.435,292,110.769,317,-16.2471,332
"2022","Appalachian St.",64.9815,328,64.3958,318,100.247,210,101.259,213,100.211,140,100.989,133,0.270566,165
"2022","Arizona",72.9192,13,72.1533,8,115.613,6,119.599,5,92.5195,14,92.3869,20,27.2117,2
"2022","Arizona St.",68.0421,177,67.1554,170,94.5235,314,101.431,203,97.2589,67,93.2025,22,8.22813,94
"2022","Arkansas",72.0273,28,70.5673,28,106.057,83,111.046,40,94.3928,28,92.0003,16,19.0459,20
"2022","Arkansas Pine Bluff",68.9177,125,66.9878,182,93.8129,326,97.9704,271,114.574,354,119.369,358,-21.399,352
"2022","Arkansas St.",68.8801,128,68.186,109,99.7506,220,100.113,236,99.1659,107,101.011,135,-0.89831,180
"2022","Army",69.2482,106,68.661,87,98.9232,245,96.5906,297,102.792,209,107.781,271,-11.1909,297
"2022","Auburn",71.398,41,69.9963,40,108.347,46,113.589,24,92.1279,10,89.1067,8,24.4821,10
"2022","Austin Peay",65.8389,291,64.5056,314,93.7918,328,95.0361,316,104.012,236,105.704,232,-10.668,291
"2022","Ball St.",71.6843,35,69.8218,46,103.01,154,101.768,198,107.399,290,109.812,298,-8.04415,260
"2022","Baylor",68.5501,151,67.1669,169,111.13,22,117.873,9,92.7023,15,91.3944,14,26.4788,5
"2022","Bellarmine",63.3471,348,61.8904,353,107.226,60,108.199,81,110.806,335,110.578,315,-2.37963,199
"2022","Belmont",69.9023,83,68.7762,79,109.068,37,108.764,74,96.5427,51,99.1127,102,9.65155,85
"2022","Bethune Cookman",67.2119,228,65.676,252,92.1625,340,93.2634,335,104.308,243,109.904,300,-16.6408,333
"2022","Binghamton",67.2147,227,66.9657,183,97.1149,279,95.0072,318,103.701,227,105.89,240,-10.8825,294
"2022","Boise St.",64.907,332,64.5921,306,103.572,143,108.351,77,92.8519,16,92.201,19,16.1497,29
"2022","Boston College",65.4551,311,64.8167,295,100.854,202,104.013,158,102.202,192,100.489,124,3.52397,130
"2022","Boston University",65.2652,318,65.0634,279,107.334,58,105.741,123,102.268,193,109.082,287,-3.34068,210
"2022","Bowling Green",73.6989,7,72.6542,3,104.928,117,103.153,172,110.987,336,113.048,342,-9.89501,281
"2022","Bradley",67.671,199,67.0958,173,103.066,152,105.039,136,95.8266,43,96.7361,61,8.30289,92
"2022","Brown",69.1139,112,67.2262,167,100.073,216,100.376,227,102.166,191,103.326,182,-2.95017,205
"2022","Bryant",72.1918,24,72.1609,7,105.275,106,104.199,154,100.608,146,105.123,218,-0.924315,182
"2022","Bucknell",68.2197,172,67.5174,136,101.767,182,100.04,239,113.829,352,117.233,356,-17.1937,336
"2022","Buffalo",72.1245,25,70.9228,20,108.744,41,107.24,93,101.935,184,103.565,191,3.67499,126
"2022","Butler",64.9435,330,63.7219,335,95.9444,296,102.539,189,103.394,222,98.9019,98,3.63742,127
"2022","BYU",69.258,104,67.7095,127,105.277,105,110.21,52,97.8053,76,96.4527,55,13.7568,49
"2022","Cal Baptist",68.9466,123,67.5139,138,99.7253,221,99.1332,252,99.7915,128,103.411,183,-4.27801,222
"2022","Cal Poly",65.0334,326,64.5278,313,92.0139,342,93.352,334,103.17,215,105.717,233,-12.3654,305
"2022","Cal St. Bakersfield",64.6115,336,64.2667,320,96.0004,295,97.9439,272,103.951,234,106.638,252,-8.6946,274
"2022","Cal St. Fullerton",66.5151,267,65.9761,238,103.807,135,104.595,144,99.3304,115,102.629,165,1.96573,149
"2022","Cal St. Northridge",65.2105,320,64.8343,293,91.5744,344,94.3056,327,107.987,306,110.139,305,-15.8334,331
"2022","California",64.9564,329,63.9432,329,96.3457,288,100.809,220,100.743,151,98.1451,82,2.66382,140
"2022","Campbell",63.1272,349,62.2885,346,101.467,189,100.874,219,99.951,129,104.575,213,-3.7008,215
"2022","Canisius",69.2679,103,68.094,112,96.3401,289,97.1655,285,103.928,232,105.724,234,-8.55865,271
"2022","Central Arkansas",72.7998,17,71.7711,10,97.0158,280,98.8899,257,113.628,350,113.01,341,-14.12,320
"2022","Central Connecticut",66.1917,274,64.4715,315,92.295,338,91.5841,347,107.531,295,111.37,326,-19.7861,346
"2022","Central Michigan",68.8164,133,67.3829,149,95.6397,302,96.6064,296,111.046,337,109.932,301,-13.3258,315
"2022","Charleston",74.3115,2,73.4002,2,104.38,125,104.554,145,101.987,187,103.015,175,1.53922,153
