Season,TeamName,eFGPct,RankeFGPct,TOPct,RankTOPct,ORPct,RankORPct,FTRate,RankFTRate
2022,Abilene Christian,51.25,236,28.58867329,1,31.57303371,314,48.88888889,358
2022,Air Force,51.48788927,245,20.27821383,72,29.39787485,231,38.89273356,335
2022,Akron,49.32313125,144,17.62025826,226,26.25,96,26.25073573,74
2022,Alabama,49.41742655,151,17.71151886,221,30.6557377,279,35.15704154,291
2022,Alabama A&M,46.31490787,29,19.58407834,103,30.97497843,289,28.64321608,135
2022,Alabama State,50.41528239,195,19.5007574,106,33.58208955,345,33.8316722,265
2022,Albany (NY),50.73126143,212,20.64900355,55,27.15163934,126,31.80987203,225
2022,Alcorn State,50.71315372,211,19.14412626,130,27.91922739,170,36.66138405,314
2022,American,53.26086957,314,17.39366762,234,29.04483431,222,28.92976589,144
2022,Appalachian State,49.82798165,173,17.85394141,212,25.95870206,82,21.67431193,12
2022,Arizona,44.38151337,9,17.67742713,223,28.32980973,191,22.79111917,20
2022,Arizona State,46.32721202,30,19.57932489,104,30.29259897,266,32.33166388,238
2022,Arkansas,47.48295752,64,20.62781205,56,25.81453634,73,32.3020451,237
2022,Arkansas-Pine Bluff,55.47337278,351,18.7395649,151,36.19565217,357,34.55621302,283
2022,Arkansas State,49.17491749,134,19.22809747,126,28.40043526,197,28.11881188,119
2022,Army,52.78422274,295,19.36017582,113,27.27272727,135,22.85382831,21
2022,Auburn,44.12076271,7,20.71713147,52,29.36444087,230,34.79872881,289
2022,Austin Peay,52.53824757,284,20.94299007,39,30.35921205,268,36.09179416,305
2022,BYU,47.76836158,78,15.23400191,333,22.49322493,13,30.4519774,187
2022,Ball State,52.37569061,279,17.18467738,252,28.20276498,184,32.76243094,247
2022,Baylor,47.83464567,79,22.89270182,16,28.44036697,199,26.88413948,89
2022,Bellarmine,54.39210694,338,17.67500491,224,30.53097345,273,30.17186505,179
2022,Belmont,49.44356121,152,20.89073944,43,27.80701754,164,23.47641759,28
2022,Bethune-Cookman,51.48452306,243,20.3529973,68,30.86021505,285,35.50221099,296
2022,Binghamton,49.93622449,177,15.90740792,306,27.12215321,125,30.10204082,177
2022,Boise State,48.19690899,95,20.09040683,82,21.93236715,5,25.81568403,63
2022,Boston College,51.54755205,251,18.69382591,153,25.73879886,71,31.51378728,218
2022,Boston University,50.42396834,197,16.75491791,277,24.15784408,44,29.11249293,150
2022,Bowling Green State,53.48773842,321,17.30266324,240,30.65420561,278,30.79019074,194
2022,Bradley,46.90660321,44,18.19976821,186,23.33019755,26,30.22010708,181
2022,Brown,51.14980289,232,19.45259435,109,28.18574514,183,33.18002628,254
2022,Bryant,47.36975215,61,16.44620054,293,31.46341463,309,24.3803743,41
2022,Bucknell,53.75368008,328,13.7524778,353,29.98236332,256,22.91462218,23
2022,Buffalo,48.1523593,92,15.84560439,310,27.88550323,167,29.39169983,161
2022,Butler,49.91319444,176,17.08772188,257,27.43538767,146,30.20833333,180
2022,California Baptist,48.10671256,88,17.32414191,239,27.76752768,163,33.33333333,258
2022,Cal Poly,48.1042654,87,17.02522177,261,26.93531283,117,36.83141503,315
2022,Cal State Bakersfield,51.44389439,242,20.12025723,79,26.12137203,92,48.01980198,357
2022,Cal State Fullerton,50.8125,216,20.21838447,76,28.01268499,174,26.0625,67
2022,Cal State Northridge,51.87994723,262,19.90170828,86,32.9583802,337,36.47757256,312
2022,California,47.47048904,62,14.65699878,341,23.36363636,27,31.47835863,216
2022,Campbell,50.57636888,204,18.29572043,178,26.06635071,89,27.59365994,100
2022,Canisius,51.54668166,250,17.78866146,216,26.33136095,103,32.2272216,234
2022,Central Arkansas,54.7826087,343,16.38372659,296,30.87378641,286,29.7826087,172
2022,Central Connecticut State,52.89934354,299,18.84306386,147,31.76248822,317,28.82932166,140
2022,Central Michigan,53.04669704,305,16.59540852,283,31.32760267,301,36.1047836,306
2022,College of Charleston,51.24602333,234,19.11808443,134,25.02202643,62,37.64581124,326
2022,Charleston Southern,55.27127004,350,17.37590685,235,25.71743929,70,29.96300863,173
2022,Charlotte,52.64505119,287,16.94710084,265,25.62065541,69,26.45051195,80
2022,Chattanooga,49.57888827,157,18.04052014,196,26.29107981,98,27.34418866,97
2022,Chicago State,53.72794536,327,18.66440149,155,32.09756098,327,38.53158793,334
2022,Cincinnati,44.96208017,14,17.91820544,206,29.63917526,240,34.50704225,282
2022,Clemson,49.67707212,165,16.92973595,267,24.11971831,42,29.11733046,151
2022,Cleveland State,49.36363636,146,21.89758573,27,31.8226601,319,34.24242424,279
2022,Coastal Carolina,46.1255845,27,17.02026364,262,29.83367983,248,26.25250501,75
2022,Colgate,49.0015361,128,16.18413353,299,24.83221477,56,24.2703533,40
2022,Colorado,48.09994794,86,17.54414893,228,24.42941674,46,27.01717855,92
2022,Colorado State,49.84634296,174,18.36246359,170,25,60,24.95390289,50
2022,Columbia,54.80335268,344,16.44063144,294,28.81745121,213,25.1450677,54
2022,Connecticut,45.71351058,24,17.95043078,203,27.46419545,148,31.90450353,229
2022,Coppin State,49.25632127,139,20.31110618,71,31.99033038,325,28.11105602,118
2022,Cornell,51.04659014,227,18.14020273,191,28.17679558,182,31.26266036,210
2022,Creighton,44.86564299,13,15.46730598,327,28.40909091,198,20.2975048,4
2022,Dartmouth,50.82212257,217,19.16226887,128,26.88971499,115,28.40059791,126
