Season,TeamName,eFGPct,RankeFGPct,TOPct,RankTOPct,ORPct,RankORPct,FTRate,RankFTRate
2022,Abilene Christian,47.83372365,273,17.54522257,118,27.90917692,178,38.46604215,15
2022,Air Force,50.86986778,133,21.47424789,334,19.56769056,353,26.79192763,278
2022,Akron,52.79329609,57,17.82163264,129,29.01921132,147,40.09931719,5
2022,Alabama,51.46912351,108,19.79272851,270,35.52631579,12,33.56573705,80
2022,Alabama A&M,41.25288684,358,19.58407834,259,28.65748709,158,33.54503464,81
2022,Alabama State,47.71126761,277,21.59012426,337,29.50513539,130,36.85446009,37
2022,Albany (NY),46.23779437,320,18.6963791,206,26.13953488,245,25.04307869,316
2022,Alcorn State,45.81442259,333,20.37239985,298,31.91153239,61,32.42561775,110
2022,American,49.59700633,193,20.27685709,292,25.07345739,280,25.56131261,305
2022,Appalachian State,48.35133599,256,16.02403605,40,26.31578947,237,27.57248437,266
2022,Arizona,55.91758505,10,17.9988349,142,34.54706927,16,35.12218495,57
2022,Arizona State,47.09022958,294,17.28961864,101,24.87223169,285,21.24933262,356
2022,Arkansas,49.2,219,17.3707891,112,30.89092423,85,37.9,23
2022,Arkansas-Pine Bluff,46.64179104,309,19.73635027,268,24.97579864,282,33.58208955,79
2022,Arkansas State,49.30795848,211,20.61741088,311,29.35779817,135,34.46366782,66
2022,Army,48.820059,233,18.91568199,218,29.84934087,124,32.09439528,119
2022,Auburn,50.36891294,154,16.71153225,65,33.13953488,42,31.62813576,133
2022,Austin Peay,50.36891294,311,21.33185195,327,29.51991828,129,25.72368421,301
2022,BYU,51.23180291,120,18.62464183,200,30.87248322,86,28.05151176,252
2022,Ball State,51.33954572,113,19.54699152,254,26.83379759,220,38.14793244,18
2022,Baylor,52.87474333,54,18.16881096,160,36.33125557,7,28.54209446,235
2022,Bellarmine,53.34375,42,14.96411459,18,22.40802676,328,22.0625,348
2022,Belmont,55.68181818,12,16.81017037,67,24.35643564,295,25.89852008,299
2022,Bethune-Cookman,45.42961609,338,19.79328987,271,27.81007752,180,28.82388787,227
2022,Binghamton,48.81940013,234,18.81462384,214,26.65975104,229,23.22910019,340
2022,Boise State,51.14142539,122,18.52012216,191,30.6010929,95,35.18930958,54
2022,Boston College,47.83755274,272,17.91871605,135,30.03412969,112,29.58860759,200
2022,Boston University,52.36373749,74,18.36414732,177,31.06423778,79,28.92102336,223
2022,Bowling Green State,48.63417247,242,16.46768217,54,29.8951049,120,31.92287092,126
2022,Bradley,51.06812933,124,19.91672748,278,31.85755534,62,27.30946882,268
2022,Brown,49.41897999,206,19.07747545,227,28.16753927,170,31.56875403,137
2022,Bryant,49.73074852,187,19.10324686,228,33.03964758,43,32.74098008,103
2022,Bucknell,52.76536313,59,19.30722453,240,21.875,338,28.32402235,242
2022,Buffalo,51.59867696,102,18.56906765,197,36.97083725,6,25.57883131,304
2022,Butler,47.08823529,295,18.21708281,164,27.10280374,207,30.23529412,179
2022,California Baptist,50.27289266,162,20.45211198,302,27.86885246,179,37.41661613,31
2022,Cal Poly,46.14825581,323,22.58791799,351,27.30375427,198,36.26453488,41
2022,Cal State Bakersfield,44.35369318,350,18.01536878,143,32.00455581,57,29.47443182,207
2022,Cal State Fullerton,49.21334172,217,18.092862,152,29.01168969,148,35.74575205,49
2022,Cal State Northridge,44.37660668,349,18.54969005,193,26.79097154,221,29.56298201,205
2022,California,46.91323693,299,17.13961746,94,25.31760436,272,25.30589544,311
2022,Campbell,51.29124821,115,16.36349913,50,22.22222222,332,26.32711621,289
2022,Canisius,45.43991416,337,16.91077947,74,28.03660566,173,30.20386266,180
2022,Central Arkansas,48.15019326,263,18.82485491,215,26.20817844,242,23.13638874,342
2022,Central Connecticut State,46.01139601,327,20.56879001,308,26.26441881,240,29.11680912,216
2022,Central Michigan,47.75943396,276,19.63468392,262,25.36764706,269,30.48349057,166
2022,College of Charleston,50.34381139,157,20.87127122,320,35.65004088,10,30.40275049,169
2022,Charleston Southern,46.13466334,324,21.45236594,333,26.33079848,235,28.36658354,239
2022,Charlotte,52.85630153,56,17.23762256,100,22.68041237,319,27.97408716,254
2022,Chattanooga,52.77927685,58,16.99881032,84,32.65895954,48,26.98327037,273
2022,Chicago State,45.84263393,332,22.06216037,347,31.48464164,70,29.296875,212
2022,Cincinnati,46.8766001,301,15.22819496,23,30.12145749,110,29.64669739,198
2022,Clemson,52.40899358,72,16.3879844,51,25.80348944,256,29.76445396,191
2022,Cleveland State,53.15694528,46,19.63401507,261,33.92857143,21,36.07937462,46
2022,Coastal Carolina,49.71651311,188,20.5314369,307,33.86727689,22,32.53012048,107
2022,Colgate,55.86080586,11,16.89748377,73,26.59380692,231,26.73992674,280
2022,Colorado,50.3517316,155,19.69869353,266,29.99088423,116,34.63203463,62
2022,Colorado State,55.20176545,18,15.18934665,22,21.77879133,340,30.39092055,170
2022,Columbia,48.53542234,249,21.45164582,332,27.52688172,187,26.08991826,293
2022,Connecticut,49.59390863,194,17.35665062,110,37.88135593,2,30.60913706,162
2022,Coppin State,46.02917342,326,19.46656954,250,20.08032129,351,34.57590492,64
2022,Cornell,53.50815025,38,19.61871455,260,26.06635071,246,32.24663359,116
2022,Creighton,50.9009009,131,20.5052285,305,28.5971223,162,25.96714361,297
2022,Dartmouth,48.15618221,261,17.36966953,111,23.73081464,305,24.51193059,326
2022,Davidson,55.64746149,14,14.83508996,15,23.58299595,307,32.91500285,97
2022,Dayton,53.96825397,29,19.37535638,243,30.62438057,93,31.34920635,139
